time,symbol,name,close,rise,amount,ma_signal,macd_signal,rsi_signal,kdj_signal,predicted_amount,cumulative_ratio,ratio,avg_ratio,prev_ratio,up_count,down_count,up_ratio,cumulative_amount,cumulative_prev_amount,cumulative_avg_amount,description,composite_signal
2026-01-16 15:00:00,SH000001,上证指数,4101.91,-0.26,472671870976.0,0,2,1,-2,1322153704016.12,0.96,0.9,0.94,1.1379,1023,1251,44.99,1338017269760.0,1175915088896.0,1399993333350.4,,0
2026-01-16 15:00:00,SZ399001,深证成指,14281.067,-0.18,564096794624.0,2,2,1,-2,1660316190611.87,0.83,0.76,0.81,0.9761,1258,1592,44.14,1688305139712.0,1729648263168.0,2044472590336.0,,2
2026-01-16 15:00:00,SH000680,科创综指,1855.03,1.63,132737133824.0,2,2,1,-2,346878523955.71,0.96,0.98,0.97,1.1276,379,212,64.13,345755831552.0,306630152192.0,359459610316.8,,2
2026-01-16 15:00:00,SZ399006,创业板指,3361.02,-0.2,283825012736.0,2,2,1,-2,832410606528.1,0.83,0.77,0.82,0.996,678,693,49.45,846356152320.0,849713496064.0,1015382540288.0,,2
2026-01-16 11:30:00,SZ399001,深证成指,14293.065,-0.1,1124208345088.0,2,2,1,-2,1761313136574.46,0.86,0.86,0.86,0.9981,1078,1770,37.85,1124208345088.0,1126386106368.0,1304895527321.6,,2
2026-01-16 11:30:00,SH000001,上证指数,4103.45,-0.22,865345398784.0,0,2,1,-2,1385713401350.23,0.99,0.99,0.99,1.1599,874,1420,38.1,865345398784.0,746052724736.0,874224984064.0,,0
2026-01-16 11:30:00,SZ399006,创业板指,3367.45,-0.01,562531139584.0,2,2,1,-2,883484348304.59,0.87,0.87,0.87,1.0472,587,783,42.85,562531139584.0,537187549184.0,646534181683.2,,2
2026-01-16 11:30:00,SH000680,科创综指,1840.96,0.86,213018697728.0,2,2,1,-2,342277440943.66,0.95,0.95,0.95,1.1702,325,272,54.44,213018697728.0,182035922944.0,223708104140.8,,2
2026-01-15 15:00:00,SZ399006,创业板指,3367.92,0.56,312525946880.0,2,2,1,-2,851569086503.32,0.85,0.86,0.85,0.7293,516,858,37.55,849713496064.0,1165157072896.0,996570025164.8,,2
2026-01-15 15:00:00,SH000001,上证指数,4112.6,-0.33,429862364160.0,0,2,1,-2,1169087978918.22,0.84,0.81,0.83,0.7317,1066,1219,46.65,1175915088896.0,1607041239040.0,1401448068710.4,,0
2026-01-15 15:00:00,SZ399001,深证成指,14306.715,0.41,603262156800.0,2,2,1,-2,1713427634202.87,0.86,0.82,0.85,0.7409,1132,1719,39.71,1729648263168.0,2334442913792.0,2021982103142.4,,2
2026-01-15 15:00:00,SH000680,科创综指,1825.3,-0.55,124594229248.0,2,2,1,-2,313644105231.67,0.85,0.94,0.87,0.7542,277,321,46.32,306630152192.0,406568990464.0,361757906841.6,,2
2026-01-15 11:30:00,SH000001,上证指数,4101.52,-0.6,746052724736.0,0,2,1,-2,1196836650678.68,0.85,0.85,0.85,0.8367,788,1492,34.56,746052724736.0,891671447552.0,873629615308.8,,0
2026-01-15 11:30:00,SZ399001,深证成指,14186.096,-0.44,1126386106368.0,2,2,1,-2,1773682700876.51,0.88,0.88,0.88,0.8482,846,2002,29.71,1126386106368.0,1328016785408.0,1284019847168.0,,2
2026-01-15 11:30:00,SH000680,科创综指,1798.41,-2.02,182035922944.0,0,2,1,-2,287344305404.28,0.79,0.79,0.79,0.7751,158,438,26.51,182035922944.0,234848529408.0,229185657856.0,,0
2026-01-15 11:30:00,SZ399006,创业板指,3314.88,-1.02,537187549184.0,0,2,1,-2,844792410332.2,0.85,0.85,0.85,0.8011,359,1015,26.13,537187549184.0,670587420672.0,633685547417.6,,0
2026-01-14 15:00:00,SH000680,科创综指,1835.41,1.63,171720461056.0,2,2,1,-2,425741662607.76,1.19,1.43,1.24,1.0837,371,220,62.77,406568990464.0,375182819072.0,342318615910.4,,2
2026-01-14 15:00:00,SH000001,上证指数,4126.09,-0.31,715369791488.0,2,2,1,-2,1694269303993.96,1.22,1.52,1.28,1.0847,1044,1234,45.83,1607041239040.0,1481574233088.0,1319524380057.6,,2
2026-01-14 15:00:00,SZ399006,创业板指,3349.14,0.82,494569652224.0,2,2,1,-2,1227143169819.28,1.27,1.56,1.34,1.072,849,520,62.02,1165157072896.0,1086922227712.0,916188718694.4,,2
2026-01-14 15:00:00,SZ399001,深证成指,14248.585,0.56,1006426128384.0,2,2,1,-2,2468800869281.3,1.24,1.54,1.31,1.076,1542,1300,54.26,2334442913792.0,2169490505728.0,1886452868710.4,,2
2026-01-14 11:30:00,SZ399006,创业板指,3396.35,2.24,670587420672.0,2,2,1,1,1025673270578.38,1.12,1.12,1.12,0.9107,1282,99,92.83,670587420672.0,736365314048.0,599015410892.8,,5
2026-01-14 11:30:00,SH000001,上证指数,4188.24,1.2,891671447552.0,2,2,-2,1,1388007695382.59,1.05,1.05,1.05,0.9223,1973,298,86.88,891671447552.0,966775920640.0,847639723622.4,,5
2026-01-14 11:30:00,SZ399001,深证成指,14449.557,1.98,1328016785408.0,2,2,1,1,2031709739601.1,1.08,1.08,1.08,0.9044,2561,284,90.02,1328016785408.0,1468404989952.0,1233099934924.8,,5
2026-01-14 11:30:00,SH000680,科创综指,1870.2,3.55,234848529408.0,2,2,-2,1,361625385847.75,1.06,1.06,1.06,0.9396,557,39,93.46,234848529408.0,249951941120.0,222312017152.0,,5
