time,symbol,name,close,rise,amount,ma_signal,macd_signal,rsi_signal,kdj_signal,predicted_amount,cumulative_ratio,ratio,avg_ratio,prev_ratio,up_count,down_count,up_ratio,cumulative_amount,cumulative_prev_amount,cumulative_avg_amount,description,rise_change_3d,macd_acceleration_ratio,composite_signal
2026-06-29 15:00:00,SH000001,上证指数,4073.9,1.16,256527478784.0,0,-2,-1,-1,1575152779291.85,1.03,0.92,0.98,1.0278,1241,1045,54.29,1666220349440.0,1621195698176.0,1610585663897.6,,0.89,-7.0,-3
2026-06-29 15:00:00,SZ399001,深证成指,15812.856,0.19,281553797120.0,-1,-2,-1,-1,1737674167188.19,0.97,0.85,0.91,0.9587,1187,1677,41.45,1851533426688.0,1931214716928.0,1911212238438.4,,0.73,-40.0,-4
2026-06-29 15:00:00,SZ399006,创业板指,4216.7,0.54,145138384896.0,0,-1,1,-1,871164400114.07,0.98,0.87,0.92,0.982,525,856,38.02,921211830272.0,938117562368.0,942308707532.8,,1.23,-43.0,-2
2026-06-29 15:00:00,SH000680,科创综指,2416.67,3.12,97108605952.0,2,2,1,1,573845277909.0,1.15,1.05,1.09,1.124,337,269,55.61,606265848832.0,539400126464.0,528743460710.4,,2.86,0.0,5
2026-06-29 14:00:00,SH000001,上证指数,4063.51,0.9,230433878016.0,-1,-2,-1,-1,1603982262675.62,1.06,0.89,1.0,1.041,1222,1060,53.55,1409692870656.0,1354170103808.0,1333129936896.0,,0.9,-18.0,-4
2026-06-29 14:00:00,SZ399001,深证成指,15771.358,-0.07,247112531968.0,-1,-1,-1,-1,1776089533180.81,0.99,0.82,0.93,0.9776,1175,1663,41.4,1569979629568.0,1605944344576.0,1579603512524.8,,-0.07,-52.0,-3
2026-06-29 14:00:00,SZ399006,创业板指,4202.84,0.21,124808069120.0,0,-1,1,-1,888879803815.69,1.0,0.81,0.94,0.9993,494,880,35.95,776073445376.0,776639610880.0,775176637644.8,,0.21,-59.0,-2
2026-06-29 14:00:00,SH000680,科创综指,2399.68,2.39,85987270144.0,2,-1,1,1,579344209900.39,1.17,0.96,1.1,1.1406,308,295,51.08,509157242880.0,446413716480.0,436602294425.6,,2.39,-17.0,2
2026-06-29 11:30:00,SH000001,上证指数,4034.08,0.17,281188538368.0,-1,-2,-1,-1,1687571658631.91,1.1,0.94,1.05,1.0706,1013,1277,44.24,1179258992640.0,1101495693312.0,1074761296486.4,,-0.64,-30.0,-4
2026-06-29 11:30:00,SZ399001,深证成指,15591.359,-1.21,305707548672.0,-1,-1,-1,-1,1885028630771.79,1.04,0.88,0.99,0.9988,874,1990,30.52,1322867097600.0,1324515983360.0,1276463493939.2,,-2.28,-65.0,-3
2026-06-29 11:30:00,SZ399006,创业板指,4140.65,-1.28,159938543616.0,-1,-1,-1,-1,950224100676.08,1.05,0.92,1.01,1.0296,358,1025,25.89,651265376256.0,632522801152.0,621675367628.8,,-2.56,-75.0,-3
2026-06-29 11:30:00,SH000680,科创综指,2352.2,0.36,105750525440.0,0,-1,1,1,615668885651.19,1.22,1.03,1.16,1.1947,244,362,40.26,423169972736.0,354220560384.0,346892844236.8,,-0.94,-39.0,0
2026-06-29 10:30:00,SH000001,上证指数,4037.79,0.26,898070454272.0,-1,-2,-1,-1,1868118311554.83,1.16,1.16,1.16,1.1767,1135,1129,50.13,898070454272.0,763225927680.0,774296515788.8,,0.14,-33.0,-4
2026-06-29 10:30:00,SZ399001,深证成指,15697.829,-0.53,1017159548928.0,-1,-1,-1,-1,2096026461895.39,1.1,1.1,1.1,1.0865,1143,1701,40.19,1017159548928.0,936140668928.0,927434145792.0,,-0.94,-56.0,-3
2026-06-29 10:30:00,SZ399006,创业板指,4165.34,-0.69,491326832640.0,0,-1,-1,1,1034183806517.25,1.1,1.1,1.1,1.1063,474,903,34.42,491326832640.0,444127379456.0,447680944537.6,,-1.04,-65.0,0
2026-06-29 10:30:00,SH000680,科创综指,2349.44,0.25,317419447296.0,0,-1,1,1,687789493692.09,1.3,1.3,1.3,1.338,264,338,43.85,317419447296.0,237229973504.0,244010285670.4,,0.76,-38.0,0
