time,symbol,name,close,rise,amount,ma_signal,macd_signal,rsi_signal,kdj_signal,predicted_amount,cumulative_ratio,ratio,avg_ratio,prev_ratio,up_count,down_count,up_ratio,cumulative_amount,cumulative_prev_amount,cumulative_avg_amount,description,rise_change_3d,macd_acceleration_ratio,composite_signal
2026-08-27 10:00:00,SH000016,上证50,2910.065,0.17,39844976640.0,2,1,1,1,128614440003.84,0.85,0.85,0.85,1.0398,14,34,29.17,39844976640.0,38320361472.0,46848161382.4,,0.11,21.0,4
2026-08-27 10:00:00,SH000300,沪深300,4596.971,0.13,159924246528.0,1,1,-1,1,502458409024.76,0.96,0.96,0.96,1.1204,106,188,36.05,159924246528.0,142734229504.0,166743359488.0,,0.04,13.0,3
2026-08-27 10:00:00,SH000906,中证800,5147.783,0.26,270907211776.0,1,1,-1,1,825234352148.48,0.94,0.94,0.94,1.0916,0,0,0.0,270907211776.0,248173068288.0,288299538841.6,,0.19,14.0,3
2026-08-27 10:00:00,SZ399903,中证100,4466.336,0.03,78048431104.0,1,1,-1,1,249054092103.97,0.9,0.9,0.9,1.0923,34,63,35.05,78048431104.0,71452049408.0,86781360537.6,,-0.12,11.0,3
2026-08-26 15:00:00,SH000906,中证800,5134.32,0.83,92581678080.0,1,1,-1,1,828374448131.11,0.86,0.84,0.87,1.0094,0,0,0.0,814318694400.0,806695608320.0,952045107609.6,,-0.12,12.0,3
2026-08-26 15:00:00,SZ399903,中证100,4464.94,0.81,30128829184.0,1,1,-1,1,256145423509.03,0.84,0.87,0.86,0.9881,69,28,71.13,251740593920.0,254768617472.0,298224966246.4,,-0.17,10.0,3
2026-08-26 15:00:00,SH000016,上证50,2905.08,1.03,15950323328.0,2,1,1,1,143918581255.96,0.87,0.84,0.89,1.0436,37,13,74.0,140152857856.0,134292387328.0,161906380083.2,,0.05,20.0,4
2026-08-26 15:00:00,SH000300,沪深300,4590.79,0.85,56674527232.0,1,1,-1,1,498105507770.86,0.86,0.86,0.88,1.018,222,74,75.0,489057287680.0,480421560320.0,567124567654.4,,-0.12,12.0,3
2026-08-26 14:30:00,SZ399903,中证100,4467.67,0.88,18014429184.0,1,1,-1,1,255787553549.54,0.84,0.76,0.86,0.9735,72,27,72.73,221611764736.0,227637891072.0,263485119897.6,,-0.22,9.0,3
2026-08-26 14:30:00,SH000300,沪深300,4593.89,0.92,34810642944.0,1,1,-1,1,499977018844.12,0.86,0.8,0.88,1.0065,225,69,76.53,432382760448.0,429604806656.0,500865601536.0,,-0.15,11.0,3
2026-08-26 14:30:00,SH000906,中证800,5138.27,0.91,55420348928.0,1,1,-1,1,832087424050.79,0.86,0.79,0.87,1.0013,0,0,0.0,721737016320.0,720808091648.0,842165080883.2,,-0.21,10.0,3
