time,symbol,name,close,rise,amount,ma_signal,macd_signal,rsi_signal,kdj_signal,predicted_amount,cumulative_ratio,ratio,avg_ratio,prev_ratio,up_count,down_count,up_ratio,cumulative_amount,cumulative_prev_amount,cumulative_avg_amount,description,rise_change_3d,macd_acceleration_ratio,composite_signal
2026-06-08 15:00:00,SZ399850,深证50,10146.8,-2.58,24784325888.0,-2,-2,-1,-1,250143335367.48,0.97,0.83,0.95,0.8256,8,42,16.0,255751300608.0,309770364928.0,263530694656.0,,-0.04,-79.0,-5
2026-06-08 15:00:00,SZ399005,中小100,8944.403,-2.83,20989163520.0,-2,-2,-1,-1,205553141753.34,0.89,0.81,0.9,0.8949,0,0,0.0,203760723968.0,227692331008.0,228519334912.0,,0.14,-54.0,-5
2026-06-08 15:00:00,SH000688,科创50,1596.57,-4.3,11741618176.0,-2,-2,-1,-1,118297076680.15,0.83,0.75,0.82,0.8725,83,526,13.63,119405020416.0,136854205440.0,143878711603.2,,0.16,-80.0,-5
2026-06-08 15:00:00,SH000699,科创200,1628.36,-4.36,8623500544.0,-2,-2,-1,-1,89294897486.28,0.96,0.84,0.94,0.8818,0,0,0.0,90406728704.0,102524868608.0,94521961984.0,,0.17,-35.0,-5
2026-06-08 15:00:00,SH000698,科创100,1834.26,-2.12,10412320384.0,-2,-2,-1,-1,111092698847.23,1.04,0.89,1.04,1.0042,15,85,15.0,111280117376.0,110809257984.0,107335940915.2,,0.4,-33.0,-5
2026-06-08 15:00:00,SZ399019,创业200,4677.6,-3.05,15062596224.0,-2,-2,-1,-1,147967387797.72,0.97,0.86,0.97,0.8958,0,0,0.0,148592436480.0,165867869184.0,152969490124.8,,0.27,-26.0,-5
2026-06-08 15:00:00,SZ399303,国证2000,10551.925,-3.23,84667825152.0,-2,-2,-1,-1,863665717582.97,0.97,0.84,0.97,0.8987,0,0,0.0,862149044224.0,959370194944.0,888636400435.2,,0.21,-30.0,-5
2026-06-08 15:00:00,SH000905,中证500,7963.454,-3.49,54028726784.0,-2,-2,-1,-1,561006128142.46,0.96,0.83,0.96,0.9188,64,435,12.83,562548942336.0,612246478848.0,584564059750.4,,-0.01,-46.0,-5
2026-06-08 15:00:00,SH000852,中证1000,8081.259,-3.11,58910749184.0,-2,-2,-1,-1,605778145535.59,0.96,0.82,0.96,0.9073,123,872,12.36,603155106304.0,664778760192.0,629968953344.0,,0.19,-39.0,-5
2026-06-08 15:00:00,SZ399673,创业50,4130.26,-3.58,24170973952.0,-2,-2,-1,-1,238841107778.11,0.92,0.78,0.9,0.8209,0,0,0.0,243578779136.0,296727076864.0,265615110963.2,,-0.25,-107.0,-5
2026-06-08 15:00:00,SZ399330,深证100,6491.86,-2.71,35511698944.0,-2,-2,-1,-1,360536126069.15,0.94,0.82,0.94,0.8406,363,2543,12.49,361760030208.0,430373791744.0,384818151424.0,,-0.02,-77.0,-5
2026-06-08 14:30:00,SZ399303,国证2000,10601.024,-2.78,57525514240.0,-2,-2,-1,-1,880460945551.2,0.99,0.82,0.99,0.9102,0,0,0.0,777481219072.0,854212145152.0,787851898880.0,,-0.27,-26.0,-5
2026-06-08 14:30:00,SZ399850,深证50,10218.06,-1.9,18287449088.0,-2,-2,-1,-1,254570651037.7,0.99,0.79,0.97,0.8579,8,42,16.0,230966974720.0,269224568832.0,233717155020.8,,0.14,-77.0,-5
2026-06-08 14:30:00,SH000688,科创50,1612.39,-3.35,9463856000.0,-2,-2,-1,-1,119850966765.47,0.84,0.76,0.83,0.9106,91,517,14.97,107663402240.0,118236212224.0,128145133875.2,,0.29,-76.0,-5
2026-06-08 14:30:00,SH000699,科创200,1640.8,-3.63,6426627712.0,-2,-2,-1,-1,90703274719.85,0.97,0.81,0.96,0.8914,0,0,0.0,81783228160.0,91750460416.0,84266588057.6,,-0.25,-30.0,-5
2026-06-08 14:30:00,SH000698,科创100,1852.38,-1.15,8637054848.0,-2,-2,-1,-1,113271618447.81,1.05,1.03,1.06,1.0314,19,81,19.0,100867796992.0,97801654272.0,95672583168.0,,0.58,-31.0,-5
2026-06-08 14:30:00,SH000852,中证1000,8117.519,-2.68,40880906752.0,-2,-2,-1,-1,618503518393.14,0.98,0.81,0.98,0.9238,125,873,12.53,544244357120.0,589142761472.0,558150311936.0,,-0.22,-36.0,-5
2026-06-08 14:30:00,SZ399673,创业50,4170.75,-2.63,16292223232.0,-2,-2,-1,-1,243515933731.06,0.94,0.73,0.92,0.8563,0,0,0.0,219407805184.0,256227348480.0,234465285324.8,,0.12,-103.0,-5
2026-06-08 14:30:00,SZ399330,深证100,6535.84,-2.05,25547787264.0,-2,-2,-1,-1,366808661937.36,0.95,0.77,0.95,0.8736,368,2539,12.66,326248331264.0,373434927104.0,341679468544.0,,0.09,-75.0,-5
2026-06-08 14:30:00,SZ399019,创业200,4701.33,-2.56,10104761216.0,-2,-2,-1,-1,150261930149.59,0.99,0.86,0.98,0.9032,0,0,0.0,133529840256.0,147842188288.0,135495590809.6,,-0.2,-23.0,-5
2026-06-08 14:30:00,SH000905,中证500,8011.324,-2.91,37990314496.0,-2,-2,-1,-1,572229758089.67,0.98,0.79,0.98,0.9371,63,432,12.73,508520215552.0,542663581696.0,519084761497.6,,-0.28,-43.0,-5
2026-06-08 14:30:00,SZ399005,中小100,8997.362,-2.25,14425578752.0,-2,-2,-1,-1,208569596974.18,0.9,0.73,0.91,0.9181,0,0,0.0,182771560448.0,199079456768.0,202515173171.2,,0.07,-52.0,-5
2026-06-08 14:00:00,SZ399330,深证100,6495.27,-2.66,40351475200.0,-2,-2,-1,-1,378391688295.22,0.97,1.37,0.98,0.9125,296,2614,10.17,300700544000.0,329534810112.0,308601060147.2,,-1.28,-75.0,-5
2026-06-08 14:00:00,SZ399673,创业50,4142.0,-3.3,27038803968.0,-2,-2,-1,-1,251829686704.21,0.96,1.32,0.95,0.9006,0,0,0.0,203115581952.0,225526341632.0,212115172966.4,,-1.49,-103.0,-5
2026-06-08 14:00:00,SH000688,科创50,1596.46,-4.31,13853301632.0,-2,-2,-1,-1,121505571948.9,0.85,1.32,0.84,0.955,69,538,11.37,98199546240.0,102829775872.0,115758656204.8,,-1.53,-77.0,-5
2026-06-08 14:00:00,SZ399850,深证50,10151.419,-2.54,27828539904.0,-2,-2,-1,-1,262423865738.44,1.01,1.32,1.0,0.8999,7,43,14.0,212679525632.0,236328208384.0,210503892172.8,,-1.25,-76.0,-5
2026-06-08 14:00:00,SH000699,科创200,1624.08,-4.62,9317095680.0,-2,-2,-1,-1,93132489142.84,0.99,1.27,0.99,0.9016,0,0,0.0,75356600448.0,83585073152.0,76284411392.0,,-1.95,-26.0,-5
2026-06-08 14:00:00,SH000905,中证500,7954.664,-3.59,57079194112.0,-2,-2,-1,-1,591111177219.6,1.0,1.35,1.01,0.9646,53,446,10.62,470529901056.0,487798493184.0,470698359603.2,,-1.68,-41.0,-5
2026-06-08 14:00:00,SZ399303,国证2000,10517.553,-3.54,85724991488.0,-2,-2,-1,-1,905342764763.38,1.0,1.32,1.02,0.9208,0,0,0.0,719955704832.0,781862866944.0,717921046528.0,,-1.74,-24.0,-5
