全周期 2025-01-02 ~ 2026-06-18  配置 S5-R2-C7
交易日=352  等效双开=111 (31.5%)

等效双开明细:
  2025-01-14  科创200+科创100 (SH000699+SH000698)
  2025-01-17  科创200+科创100 (SH000699+SH000698)
  2025-01-27  科创100+科创200 (SH000698+SH000699)
  2025-03-11  中证1000+国证2000 (SH000852+SZ399303)
  2025-03-12  中证1000+国证2000 (SH000852+SZ399303)
  2025-04-03  上证红利+上证50 (SH000015+SH000016)
  2025-04-08  上证红利+上证50 (SH000015+SH000016)
  2025-04-14  科创100+科创200 (SH000698+SH000699)
  2025-04-21  科创200+科创100 (SH000699+SH000698)
  2025-04-22  科创200+科创100 (SH000699+SH000698)
  2025-04-25  创成长+创业板50 (SZ399296+SZ399673)
  2025-04-28  创成长+创业板50 (SZ399296+SZ399673)
  2025-04-29  创业板50+创成长 (SZ399673+SZ399296)
  2025-05-06  创成长+创业板50 (SZ399296+SZ399673)
  2025-05-09  创业板50+创成长 (SZ399673+SZ399296)
  2025-05-13  创业板50+创成长 (SZ399673+SZ399296)
  2025-05-14  创业板50+创成长 (SZ399673+SZ399296)
  2025-05-16  创业板50+创成长 (SZ399673+SZ399296)
  2025-06-06  科创200+科创100 (SH000699+SH000698)
  2025-06-09  科创200+科创100 (SH000699+SH000698)
  2025-06-24  科创100+科创200 (SH000698+SH000699)
  2025-06-26  创成长+创业板50 (SZ399296+SZ399673)
  2025-06-27  创成长+创业板50 (SZ399296+SZ399673)
  2025-06-30  创成长+创业板50 (SZ399296+SZ399673)
  2025-07-01  科创200+科创100 (SH000699+SH000698)
  2025-07-03  创业板50+创成长 (SZ399673+SZ399296)
  2025-07-04  创业板50+创成长 (SZ399673+SZ399296)
  2025-07-08  创业板50+创成长 (SZ399673+SZ399296)
  2025-07-09  创业板50+创成长 (SZ399673+SZ399296)
  2025-07-10  创业板50+创成长 (SZ399673+SZ399296)
  2025-07-11  创业板50+创成长 (SZ399673+SZ399296)
  2025-07-14  中证1000+国证2000 (SH000852+SZ399303)
  2025-07-15  创业板50+创成长 (SZ399673+SZ399296)
  2025-08-01  科创200+科创100 (SH000699+SH000698)
  2025-08-04  科创200+科创100 (SH000699+SH000698)
  2025-08-05  科创200+科创100 (SH000699+SH000698)
  2025-08-06  科创200+科创100 (SH000699+SH000698)
  2025-08-07  科创200+科创100 (SH000699+SH000698)
  2025-08-11  科创200+科创100 (SH000699+SH000698)
  2025-08-13  科创100+科创200 (SH000698+SH000699)
  2025-08-14  创成长+创业板50 (SZ399296+SZ399673)
  2025-08-15  创成长+创业板50 (SZ399296+SZ399673)
  2025-08-18  创成长+创业板50 (SZ399296+SZ399673)
  2025-08-19  创成长+创业板50 (SZ399296+SZ399673)
  2025-08-20  创成长+创业板50 (SZ399296+SZ399673)
  2025-09-12  创业板50+创成长 (SZ399673+SZ399296)
  2025-09-15  创业板50+创成长 (SZ399673+SZ399296)
  2025-09-17  创业板50+创成长 (SZ399673+SZ399296)
  2025-10-10  上证红利+上证50 (SH000015+SH000016)
  2025-10-14  上证红利+上证50 (SH000015+SH000016)
  2025-10-15  上证红利+上证50 (SH000015+SH000016)
  2025-10-16  上证红利+上证50 (SH000015+SH000016)
  2025-10-17  上证红利+上证50 (SH000015+SH000016)
  2025-10-20  上证红利+上证50 (SH000015+SH000016)
  2025-10-21  上证红利+上证50 (SH000015+SH000016)
  2025-10-22  上证红利+上证50 (SH000015+SH000016)
  2025-10-23  上证红利+上证50 (SH000015+SH000016)
  2025-10-27  创成长+创业板50 (SZ399296+SZ399673)
  2025-10-28  创成长+创业板50 (SZ399296+SZ399673)
  2025-10-29  创成长+创业板50 (SZ399296+SZ399673)
  2025-10-30  创成长+创业板50 (SZ399296+SZ399673)
  2025-11-18  国证2000+中证1000 (SZ399303+SH000852)
  2025-11-19  上证红利+上证50 (SH000015+SH000016)
  2025-11-20  上证50+上证红利 (SH000016+SH000015)
  2025-11-21  上证50+上证红利 (SH000016+SH000015)
  2025-12-03  创成长+创业板50 (SZ399296+SZ399673)
  2025-12-05  创成长+创业板50 (SZ399296+SZ399673)
  2025-12-08  创成长+创业板50 (SZ399296+SZ399673)
  2025-12-09  创成长+创业板50 (SZ399296+SZ399673)
  2025-12-19  科创200+科创100 (SH000699+SH000698)
  2025-12-24  科创100+科创200 (SH000698+SH000699)
  2025-12-25  科创100+科创200 (SH000698+SH000699)
  2025-12-26  科创100+科创200 (SH000698+SH000699)
  2025-12-29  科创100+科创200 (SH000698+SH000699)
  2026-01-09  科创100+科创200 (SH000698+SH000699)
  2026-01-12  科创100+科创200 (SH000698+SH000699)
  2026-01-15  科创200+科创100 (SH000699+SH000698)
  2026-01-16  科创100+科创200 (SH000698+SH000699)
  2026-01-19  科创200+科创100 (SH000699+SH000698)
  2026-01-20  科创200+科创100 (SH000699+SH000698)
  2026-02-05  上证红利+上证50 (SH000015+SH000016)
  2026-02-06  上证红利+上证50 (SH000015+SH000016)
  2026-02-11  上证红利+上证50 (SH000015+SH000016)
  2026-02-24  创业板50+创成长 (SZ399673+SZ399296)
  2026-02-25  创成长+创业板50 (SZ399296+SZ399673)
  2026-02-27  中证1000+国证2000 (SH000852+SZ399303)
  2026-03-10  创成长+创业板50 (SZ399296+SZ399673)
  2026-03-11  创成长+创业板50 (SZ399296+SZ399673)
  2026-03-12  创成长+创业板50 (SZ399296+SZ399673)
  2026-03-13  创成长+创业板50 (SZ399296+SZ399673)
  2026-03-16  创成长+创业板50 (SZ399296+SZ399673)
  2026-03-17  创成长+创业板50 (SZ399296+SZ399673)
  2026-03-18  创成长+创业板50 (SZ399296+SZ399673)
  2026-03-19  创成长+创业板50 (SZ399296+SZ399673)
  2026-03-20  创成长+创业板50 (SZ399296+SZ399673)
  2026-03-23  创成长+创业板50 (SZ399296+SZ399673)
  2026-03-25  创成长+创业板50 (SZ399296+SZ399673)
  2026-03-26  创成长+创业板50 (SZ399296+SZ399673)
  2026-04-01  科创100+科创200 (SH000698+SH000699)
  2026-04-17  创成长+创业板50 (SZ399296+SZ399673)
  2026-04-21  创成长+创业板50 (SZ399296+SZ399673)
  2026-04-22  创成长+创业板50 (SZ399296+SZ399673)
  2026-04-23  创成长+创业板50 (SZ399296+SZ399673)
  2026-05-08  科创100+科创200 (SH000698+SH000699)
  2026-05-28  创成长+创业板50 (SZ399296+SZ399673)
  2026-05-29  创成长+创业板50 (SZ399296+SZ399673)
  2026-06-08  上证红利+上证50 (SH000015+SH000016)
  2026-06-10  上证红利+上证50 (SH000015+SH000016)
  2026-06-11  上证红利+上证50 (SH000015+SH000016)
  2026-06-12  上证红利+上证50 (SH000015+SH000016)
  2026-06-18  科创100+科创200 (SH000698+SH000699)
