  📦 中证500 箱体: 7870/6615 (基于 2025-12-08~2025-12-31 共18根日线)
═══════════════════════════════════════════════════════════════════
  V3.2 双周期信号检测  中证500
  箱体: 7869.81 / 6614.52
  30min K线: 840根,  5min K线: 5000根
═══════════════════════════════════════════════════════════════════

  30min 趋势层 (211 次变化)
  时间             趋势         信号
  01-05 10:00    🟢看多        ⚡MA翻正
  01-05 13:30    🔴看空        🔴反弹结束
  01-06 10:00    🟢看多        ⚡MA翻正
  01-06 14:00    🔴看空        🔴反弹结束
  01-07 10:00    🟢看多        ⚡MA翻正
  01-07 10:30    🔴看空        🔴反弹结束
  01-07 13:30    🔴看空        🔴反弹结束
  01-08 10:00    🟢看多        ⚡MA翻正
  01-08 10:30    🔴看空        🔴反弹结束
  01-09 10:00    🟢看多        🟢止跌上涨
  01-09 11:30    🔴看空        🔴反弹结束
  01-12 10:00    🟢看多        ⚡MA翻正
  01-12 13:30    🔴看空        🔴反弹结束
  01-12 15:00    🔴看空        🔴反弹结束
  01-13 10:00    🟢看多        ⚡MA翻正
  01-13 11:00    🟢看多        🟢止跌上涨
  01-14 10:00    🟢看多        🟢止跌上涨
  01-14 13:30    🔴看空        🔴反弹结束
  01-14 14:30    🟢看多        🟢止跌上涨
  01-15 10:30    🔴看空        ⚡MA翻空
  01-15 13:30    🟢看多        🟢止跌上涨
  01-16 10:30    🔴看空        🔴反弹结束
  01-19 10:00    🟢看多        🟢止跌上涨
  01-20 10:30    🔴看空        ⚡MA翻空
  01-20 11:00    🟢看多        🟢止跌上涨
  01-20 14:30    🔴看空        🔴反弹结束
  01-21 10:00    🟢看多        ⚡MA翻正
  01-21 11:00    🔴看空        🔴反弹结束
  01-21 14:30    🔴看空        🔴反弹结束
  01-22 10:00    🟢看多        ⚡MA翻正
  01-22 11:30    🔴看空        🔴反弹结束
  01-23 10:00    🟢看多        ⚡MA翻正
  01-26 10:00    🔴看空        🔴反弹结束
  01-26 11:30    🟢看多        🟢止跌上涨
  01-27 10:00    🔴看空        ⚡MA翻空
  01-27 10:30    🟢看多        🟢止跌上涨
  01-27 14:30    🔴看空        🔴反弹结束
  01-28 10:00    🟢看多        ⚡MA翻正
  01-28 10:30    🟢看多        🟢止跌上涨
  01-29 10:30    🔴看空        🔴反弹结束
  01-29 14:30    🟢看多        🟢止跌上涨
  01-30 10:00    🔴看空        ⚡MA翻空
  01-30 11:00    🟢看多        🟢止跌上涨
  01-30 14:30    🔴看空        🔴反弹结束
  02-03 10:00    🟢看多        🟢止跌上涨
  02-03 11:30    🟢看多        🟢止跌上涨
  02-04 10:00    🔴看空        🔴反弹结束
  02-04 10:30    🟢看多        ⚡MA翻正
  02-04 13:30    🟢看多        🟢止跌上涨
  02-05 10:00    🔴看空        🔴反弹结束
  02-05 13:30    🟢看多        🟢止跌上涨
  02-06 10:00    🔴看空        ⚡MA翻空
  02-06 10:30    🟢看多        ⚡MA翻正
  02-06 14:30    🔴看空        🔴反弹结束
  02-09 10:00    🟢看多        ⚡MA翻正
  02-09 10:30    🟢看多        🟢止跌上涨
  02-10 10:00    🔴看空        🔴反弹结束
  02-10 13:30    🟢看多        🟢止跌上涨
  02-10 14:30    🔴看空        🔴反弹结束
  02-11 10:00    🟢看多        ⚡MA翻正
  02-12 10:00    🟢看多        🟢止跌上涨
  02-13 10:30    🔴看空        🔴反弹结束
  02-24 10:30    🟢看多        🟢止跌上涨
  02-24 13:30    🔴看空        🔴反弹结束
  02-25 10:00    🟢看多        ⚡MA翻正
  02-25 14:30    🔴看空        🔴反弹结束
  02-26 10:00    🟢看多        ⚡MA翻正
  02-26 14:00    🔴看空        🔴反弹结束
  02-27 10:00    🟢看多        ⚡MA翻正
  02-27 11:00    🔴看空        🔴反弹结束
  02-27 13:30    🟢看多        🟢止跌上涨
  03-02 10:30    🔴看空        🔴反弹结束
  03-03 11:00    🟢看多        🟢止跌上涨
  03-04 10:00    🟢看多        🟢止跌上涨
  03-04 13:30    🟢看多        🟢止跌上涨
  03-04 14:30    🔴看空        🔴反弹结束
  03-05 11:30    🔴看空        🔴反弹结束
  03-05 15:00    🟢看多        🟢止跌上涨
  03-06 13:30    🔴看空        🔴反弹结束
  03-09 10:30    🟢看多        🟢止跌上涨
  03-09 15:00    🔴看空        🔴反弹结束
  03-10 10:00    🟢看多        ⚡MA翻正
  03-10 13:30    🟢看多        🟢止跌上涨
  03-11 10:00    🔴看空        🔴反弹结束
  03-11 14:00    🟢看多        🟢止跌上涨
  03-11 15:00    🔴看空        🔴反弹结束
  03-12 14:00    🟢看多        🟢止跌上涨
  03-13 10:00    🔴看空        ⚡MA翻空
  03-13 11:30    🔴看空        🔴反弹结束
  03-16 11:30    🟢看多        🟢止跌上涨
