time,symbol,name,close,rise,amount,ma_signal,macd_signal,rsi_signal,kdj_signal,predicted_amount,cumulative_ratio,ratio,avg_ratio,prev_ratio,up_count,down_count,up_ratio,cumulative_amount,cumulative_prev_amount,cumulative_avg_amount,description,composite_signal
2025-12-31 15:00:00,SH000001,上证指数,3968.84,0.09,829511892992.0,2,2,1,1,,,,,,1066,1174,47.59,829511892992.0,,,,5
2025-12-31 15:00:00,SZ399001,深证成指,13525.033,-0.58,1215723077632.0,2,2,1,1,,,,,,1331,1457,47.74,1215723077632.0,,,,5
2025-12-31 15:00:00,SZ399006,创业板指,3203.17,-1.23,549125783552.0,0,2,1,1,,,,,,684,671,50.48,549125783552.0,,,,3
2025-12-31 15:00:00,SH000680,科创综指,1636.7,-0.36,192191070208.0,2,2,1,1,,,,,,294,296,49.83,192191070208.0,,,,5
2025-12-30 15:00:00,SH000001,上证指数,3965.12,0.0,887533338624.0,2,2,1,1,,,,,,769,1512,33.71,887533338624.0,,,,5
2025-12-30 15:00:00,SZ399001,深证成指,13604.085,0.49,1255086096384.0,2,2,1,1,,,,,,988,1836,34.99,1255086096384.0,,,,5
2025-12-30 15:00:00,SZ399006,创业板指,3242.9,0.63,565910044672.0,2,2,1,1,,,,,,485,868,35.85,565910044672.0,,,,5
2025-12-30 15:00:00,SH000680,科创综指,1642.58,0.27,215538286592.0,2,2,1,1,,,,,,226,365,38.24,215538286592.0,,,,5
2025-12-29 15:00:00,SH000001,上证指数,3965.28,0.04,903819755520.0,2,2,1,1,,,,,,859,1415,37.77,903819755520.0,,,,5
2025-12-29 15:00:00,SZ399001,深证成指,13537.114,-0.49,1235517833216.0,2,2,1,1,,,,,,1120,1715,39.51,1235517833216.0,,,,5
2025-12-29 15:00:00,SZ399006,创业板指,3222.61,-0.66,543951454208.0,2,2,1,1,,,,,,605,757,44.42,543951454208.0,,,,5
2025-12-29 15:00:00,SH000680,科创综指,1638.08,0.23,213621735424.0,2,2,1,1,,,,,,245,348,41.32,213621735424.0,,,,5
