date,RZMRE,RZCHE,RZJME,RZMRE3D,RZCHE3D,RZJME3D,RZMRE5D,RZCHE5D,RZJME5D,RZMRE10D,RZCHE10D,RZJME10D,RZRQYE,RZYE,RQYE,RZRQYECZ,ZDF,ZDF3D,ZDF5D,ZDF10D,RZYEZB
2025-01-02,1225.55898683,1295.78164663,-70.2226598,3651.2850398,3844.68491818,-193.39987841,6394.34243024,6616.90524837,-222.5628182,13091.74441066,13317.77076794,-226.02635744,18571.21137843,18471.22937233,99.9820061,18371.24736623,-2.910249,-4.035023,-4.145742,-3.082146,2.440518
2025-01-03,990.12565096,1167.64490867,-177.51925771,3437.72779151,3841.09861318,-403.37082168,6078.05356115,6489.81637638,-411.76281527,12746.31433431,13157.5387098,-411.22437563,18389.37584469,18293.71011462,95.66573007,18198.04438455,-1.183919,-5.598575,-5.324548,-4.316317,2.463298
2025-01-06,796.70512849,877.19439459,-80.48926611,3012.38976628,3340.62094989,-328.23118362,5438.11581925,5889.52422144,-451.40840223,12030.05517572,12567.66572581,-537.61055021,18306.66484755,18213.22084852,93.44399903,18119.77684949,-0.164101,-4.217153,-5.326786,-4.042381,2.457288
2025-01-07,927.72189875,925.16697404,2.55492471,2714.5526782,2970.0062773,-255.45359911,5162.15481875,5643.45998181,-481.30516308,11573.65754425,12048.37181693,-474.71427279,18312.23241469,18215.77577323,96.45664146,18119.31913177,0.719979,-0.63579,-5.074934,-3.494694,2.433735
2025-01-08,1062.74560997,1106.83165488,-44.08604491,2787.17263721,2909.19302351,-122.02038631,5002.857275,5372.61957881,-369.76230382,11411.45550545,11943.77644162,-532.32093625,18273.25038001,18171.68972832,101.56065169,18070.12907663,-0.181507,0.372182,-3.70264,-4.88173,2.430336
2025-01-09,967.70359683,972.0160945,-4.31249768,2958.17110555,3004.01472342,-45.84361788,4745.001885,5048.85402668,-303.8521417,11139.34431524,11665.75927505,-526.4149599,18270.84496636,18167.37723065,103.46773571,18063.90949494,-0.246436,0.289405,-1.060568,-5.162342,2.435911
2025-01-10,966.68602809,1055.29769497,-88.61166688,2997.13523489,3134.14544435,-137.01020947,4721.56226213,4936.50681298,-214.94455087,10799.61582328,11426.32318936,-626.70736614,18180.07854484,18078.76556377,101.31298107,17977.4525827,-1.253922,-1.676057,-1.130658,-6.395004,2.464175
2025-01-13,788.69743622,797.09077712,-8.39334093,2723.08706114,2824.40456659,-101.31750549,4713.55456986,4856.40319551,-142.84862569,10151.67038911,10745.92741695,-594.25702792,18169.29928318,18070.37222287,98.92706031,17971.44516256,-0.26705,-1.76032,-1.23261,-6.493738,2.466661
2025-01-14,1335.07681738,1219.96140253,115.11541484,3090.46028169,3072.34987462,18.11040703,5120.90948849,5151.197624,-30.28813556,10283.06430724,10794.65760581,-511.59329864,18284.90911692,18185.48763772,99.4214792,18086.06615852,2.633342,1.075754,0.64366,-4.46394,2.406558
2025-01-15,1055.72839467,1038.14083738,17.58755728,3179.50264827,3055.19301703,124.30963119,5113.89227319,5082.5068065,31.38546663,10116.74954819,10455.12638531,-338.37683719,18303.71036026,18203.07519501,100.63516525,18102.44002976,-0.641624,1.702498,0.179739,-3.529556,2.421651
2025-01-16,1198.59736623,1186.86148106,11.73588515,3589.40257828,3444.96372097,144.43885727,5344.78604259,5297.35219306,47.43384946,10089.78792759,10346.20621974,-256.41829224,18316.26707741,18214.81108018,101.45599723,18113.35508295,0.114794,2.091883,0.542512,-0.52381,2.414157
2025-01-17,1034.16548766,1101.23073079,-67.06524313,3288.49124856,3326.23304923,-37.7418007,5412.26550216,5343.28522888,68.98027321,10133.82776429,10279.79204186,-145.96427766,18248.37730635,18147.74583705,100.6314693,18047.11436775,0.314687,-0.21454,2.139657,0.984807,2.399379
2025-01-20,1117.22490768,1108.10420957,9.12069807,3349.98776157,3396.19642142,-46.20865991,5740.79297362,5654.29866133,86.49431221,10454.34754348,10510.70185684,-56.35431348,18257.94147367,18156.86653516,101.07493851,18055.79159665,0.454668,0.886464,2.878792,1.610697,2.390932
2025-01-21,1177.74717422,1164.55941067,13.18776354,3329.13756956,3373.89435103,-44.75678152,5583.46333046,5598.89666947,-15.43333909,10704.37281895,10750.09429347,-45.72147465,18272.87282243,18170.05429871,102.81852372,18067.23577499,0.076719,0.848096,0.316055,0.961749,2.391338
2025-01-22,1069.61958176,1087.90690612,-18.28732437,3364.59166366,3360.57052636,4.02113724,5597.35451755,5648.66273821,-51.30822074,10711.24679074,10731.16954471,-19.92275411,18254.37118525,18151.76697435,102.6042109,18049.16276345,-0.928815,-0.402018,0.026096,0.205882,2.411884
2025-01-23,1330.72201654,1382.7036152,-51.98159866,3578.08877252,3635.16993199,-57.08115949,5729.47916786,5844.50487235,-115.02570455,11074.26521045,11141.85706541,-67.59185509,18200.28952981,18099.78537569,100.50415412,17999.28122157,0.177173,-0.677146,0.08842,0.631412,2.399885
2025-01-24,1132.65689677,1244.47874814,-111.82185141,3532.99849507,3715.08926946,-182.09077444,5827.97057697,5987.7528897,-159.78231283,11240.23607913,11331.03811858,-90.80203962,18083.28674061,17987.96352432,95.32321629,17892.64030803,0.765556,0.006502,0.538273,2.689447,2.362531
2025-01-27,954.44997814,1297.04437381,-342.5943957,3417.82889145,3924.22673715,-506.39784577,5665.19564743,6176.69305394,-511.4974066,11405.98862105,11830.99171527,-425.00309439,17739.50642189,17645.36912865,94.13729324,17551.23183541,-0.411794,0.528404,-0.32891,2.540413,2.326901
2025-02-05,1312.03887,1113.59325091,198.44561908,3399.14574491,3655.11637286,-255.97062803,5799.48734321,6125.72689418,-326.23955106,11382.95067367,11724.62356365,-341.67289015,17940.57183304,17843.81474774,96.7570853,17747.05766244,-0.576236,-0.227647,-0.979219,-0.666259,2.360042
2025-02-06,1599.10676235,1452.81726353,146.28949879,3865.59561049,3863.45488825,2.14072217,6328.9745238,6490.63725159,-161.6627279,11926.32904135,12139.2999898,-212.97094864,18090.82868336,17990.10424656,100.7244368,17889.37980976,1.258117,0.260059,1.2066,1.233011,2.341482
2025-02-07,2064.830191,1954.32684539,110.50334559,4975.97582335,4520.73735983,455.23846346,7063.08269826,7062.26048178,0.82221635,12792.56186612,12906.76535413,-114.2034882,18204.93243369,18100.60759217,104.32484152,17996.28275065,1.297777,1.981164,2.338719,2.429207,2.32643
2025-02-10,1750.34462398,1559.04692654,191.29769744,5414.28157733,4966.19103546,448.09054182,7680.77042547,7376.82866018,303.9417652,13508.74100244,13364.58154988,144.15945237,18399.14013456,18291.90528961,107.23484495,18184.67044466,0.214735,2.79248,1.779299,2.327149,2.334018
2025-02-11,1586.67691273,1525.17492474,61.50198798,5401.85172771,5038.54869667,363.30303101,8312.99736006,7604.95921111,708.03814888,13978.19300749,13781.65226505,196.54074228,18462.4815806,18353.4072776,109.074303,18244.3329746,-0.459531,1.048805,1.730511,1.395909,2.346561
2025-02-12,1726.41403256,1654.35069391,72.06333864,5063.43556927,4738.57254519,324.86302406,8727.37252262,8145.71665411,581.65586844,14526.85986583,14271.44354829,255.41631738,18537.21133441,18425.47061625,111.74071816,18313.72989809,0.945795,0.697687,3.287855,2.276441,2.331984
2025-02-13,1803.25951246,1811.4895684,-8.23005597,5116.35045775,4991.01518705,125.33527065,8931.52527273,8504.38895898,427.13631368,15260.49979653,14995.02621057,265.47358578,18528.64361943,18417.24056031,111.40305912,18305.83750119,-0.375572,0.104536,1.621419,2.847583,2.3426
