交易时间,市场状态,风险等级,综合评分,日线评分,120分钟,60分钟,30分钟,总金额(万亿),预测总金额(万亿),上涨比例,平均涨幅,平均量比,操作建议
"2025-12-24 15:00:00","强势上涨阶段","极低","9.0","8.7","9.3","9.4","8.8","1.88","1.92","79.7%","0.86%","1.06","持股为主，回调加仓"
"2025-12-24 14:00:00","强势上涨阶段","极低","9.0","8.7","9.0","9.5","8.8","1.50","1.94","78.3%","0.73%","1.07","持股为主，回调加仓"
"2025-12-24 11:30:00","偏强整理阶段","中低","8.7","8.6","8.8","9.4","7.4","1.15","1.88","74.9%","0.35%","1.04","持股观望，等待明确信号"
"2025-12-24 10:30:00","中性震荡阶段","中等","8.4","8.6","8.6","8.8","6.5","0.84","1.82","62.6%","0.10%","1.02","观望为主，等待方向选择"
"2025-12-23 15:00:00","中性震荡阶段","中等","8.3","8.6","8.5","8.9","5.4","1.90","1.92","29.1%","0.28%","1.09","观望为主，等待方向选择"
"2025-12-23 14:00:00","中性震荡阶段","中等","8.5","8.6","8.4","8.9","7.5","1.54","1.98","28.7%","0.35%","1.12","观望为主，等待方向选择"
"2025-12-23 11:30:00","强势上涨阶段","极低","8.7","8.6","8.6","8.9","9.1","1.24","2.08","37.4%","0.61%","1.14","持股为主，回调加仓"
"2025-12-23 10:30:00","趋势反转确认阶段","低中","8.5","8.6","8.2","8.7","8.6","0.88","1.92","28.3%","0.26%","1.09","逐步建仓，顺势而为，回调加仓"
"2025-12-22 15:00:00","趋势反转确认阶段","低中","8.3","8.1","8.2","8.7","9.1","1.86","1.85","57.3%","1.50%","1.07","逐步建仓，顺势而为，回调加仓"
"2025-12-22 14:00:00","趋势反转确认阶段","低中","8.3","8.1","8.0","8.8","9.0","1.49","1.92","60.2%","1.45%","1.10","逐步建仓，顺势而为，回调加仓"
"2025-12-22 11:30:00","中性震荡阶段","中等","8.1","8.1","7.3","8.5","9.2","1.19","1.87","67.0%","1.38%","1.08","观望为主，等待方向选择"
"2025-12-22 10:30:00","中性震荡阶段","中等","7.8","8.1","7.1","7.7","9.1","0.88","1.83","67.4%","1.30%","1.07","观望为主，等待方向选择"
"2025-12-19 15:00:00","中性震荡阶段","中等","5.2","5.3","4.5","5.2","7.0","1.73","1.71","83.2%","0.45%","0.95","观望为主，等待方向选择"
"2025-12-19 14:00:00","中性震荡阶段","中等","5.5","5.8","4.5","5.7","7.4","1.37","1.73","83.3%","0.44%","0.93","观望为主，等待方向选择"
"2025-12-19 11:30:00","中性震荡阶段","中等","6.1","6.4","5.0","6.0","8.1","1.09","1.76","86.6%","0.81%","0.95","观望为主，等待方向选择"
"2025-12-19 10:30:00","中性震荡阶段","中等","6.2","6.7","5.3","5.6","8.4","0.80","1.80","83.5%","1.04%","0.98","观望为主，等待方向选择"
"2025-12-18 15:00:00","中性震荡阶段","中等","3.8","4.2","3.2","3.3","5.3","1.66","1.63","54.9%","-0.90%","0.89","观望为主，等待方向选择"
"2025-12-18 14:00:00","中性震荡阶段","中等","4.5","5.0","3.6","4.1","6.2","1.33","1.68","57.8%","-0.86%","0.90","观望为主，等待方向选择"
"2025-12-18 11:30:00","震荡整理阶段","中等","5.0","5.5","4.6","4.2","5.8","1.05","1.65","68.9%","-0.69%","0.91","区间操作，高抛低吸"
"2025-12-18 10:30:00","中性震荡阶段","中等","5.4","6.6","4.6","4.3","5.0","0.78","1.71","74.6%","-0.56%","0.92","观望为主，等待方向选择"
"2025-12-17 15:00:00","中性震荡阶段","中等","5.5","6.3","5.7","4.4","3.9","1.81","1.90","69.7%","2.12%","0.98","观望为主，等待方向选择"
"2025-12-17 14:00:00","中性震荡阶段","中等","4.0","5.1","3.8","2.7","3.2","1.35","1.74","51.5%","1.82%","0.91","观望为主，等待方向选择"
"2025-12-17 11:30:00","单边下跌阶段","极高","2.1","2.6","2.4","0.6","2.0","1.02","1.59","29.5%","0.57%","0.86","空仓观望，严格止损"
"2025-12-17 10:30:00","单边下跌阶段","极高","1.9","2.5","2.0","0.6","1.3","0.77","1.70","28.2%","0.51%","0.89","空仓观望，严格止损"
"2025-12-16 15:00:00","单边下跌阶段","极高","2.0","3.0","2.3","0.6","0.3","1.72","1.72","17.1%","-1.64%","0.92","空仓观望，严格止损"
"2025-12-16 14:00:00","单边下跌阶段","极高","2.4","3.5","2.6","0.7","0.4","1.41","1.77","18.6%","-1.38%","0.92","空仓观望，严格止损"
"2025-12-16 11:30:00","单边下跌阶段","极高","2.4","2.7","3.7","0.8","0.3","1.12","1.78","13.9%","-1.92%","0.92","空仓观望，严格止损"
"2025-12-16 10:30:00","趋势反转确认阶段","高","3.1","3.9","4.4","0.9","0.5","0.81","1.74","18.0%","-1.14%","0.90","清仓离场，等待机会，不抄底"
"2025-12-15 15:00:00","中性震荡阶段","中等","4.7","5.7","6.4","1.8","1.5","1.77","1.70","43.7%","-1.22%","0.92","观望为主，等待方向选择"
"2025-12-12 15:00:00","上涨回调整理阶段","中低","7.4","8.4","8.9","4.9","4.2","2.09","2.20","50.8%","1.08%","1.14","持股观望，回调到位可加仓"
"2025-12-11 15:00:00","中性震荡阶段","中等","5.2","6.5","6.8","2.2","1.3","1.86","1.85","14.7%","-1.18%","1.03","观望为主，等待方向选择"
"2025-12-10 15:00:00","中性震荡阶段","中等","7.8","8.0","8.8","6.8","5.5","1.78","1.76","47.0%","0.11%","1.00","观望为主，等待方向选择"
"2025-12-09 15:00:00","中性震荡阶段","中等","7.8","7.6","8.4","8.4","5.4","1.90","1.86","25.1%","-0.32%","1.11","观望为主，等待方向选择"
"2025-12-08 15:00:00","趋势反转确认阶段","低中","8.2","7.3","8.3","9.5","9.2","2.04","2.03","63.7%","1.50%","1.21","逐步建仓，顺势而为，回调加仓"
"2025-12-05 15:00:00","趋势启动阶段","中等","7.0","5.6","7.1","8.8","8.8","1.73","1.87","81.3%","1.08%","1.05","逐步建仓，回调加仓"
"2025-12-04 15:00:00","中性震荡阶段","中等","4.3","3.7","5.4","4.5","3.0","1.55","1.52","28.3%","0.50%","0.92","观望为主，等待方向选择"
"2025-12-03 15:00:00","趋势反转确认阶段","高","2.9","2.6","4.5","2.1","1.2","1.67","1.69","27.7%","-0.85%","0.97","清仓离场，等待机会，不抄底"
"2025-12-02 15:00:00","中性震荡阶段","中等","4.8","4.0","5.2","6.4","3.2","1.59","1.54","30.2%","-0.81%","0.91","观望为主，等待方向选择"
"2025-12-01 15:00:00","抄底反弹阶段","高","5.4","3.4","4.6","8.8","9.1","1.87","1.69","62.9%","1.03%","1.08","谨慎试探，小仓位参与"
"2025-11-28 15:00:00","弱势反弹阶段","高","4.3","2.5","3.3","8.1","7.4","1.59","1.60","78.7%","0.80%","0.88","反弹减仓，控制仓位，不追高"
"2025-11-27 15:00:00","偏弱整理阶段","中高","3.3","1.3","2.3","7.3","6.0","1.71","1.68","55.0%","-0.08%","0.95","轻仓观望，等待明确信号"
